timestamp,price,position,pnl,type
1746752835.8428879,102775.0,1,0.0,ENTRY
1746752878.405715,102774.9,0,-0.10000000000582077,EXIT
1746752880.657784,102774.9,-1,-0.10000000000582077,ENTRY
1746752902.162009,102775.0,0,-0.20000000001164153,EXIT
1746752904.305464,102775.0,1,-0.20000000001164153,ENTRY
1746753038.3614452,102779.6,0,4.399999999994179,EXIT
1746753040.484053,102779.6,-1,4.399999999994179,ENTRY
1746753081.383466,102782.3,0,1.6999999999970896,EXIT
1746753083.7579362,102782.3,1,1.6999999999970896,ENTRY
1746753242.082756,102784.6,0,4.0,EXIT
1746753244.426688,102784.6,-1,4.0,ENTRY
1746753374.111659,102881.1,0,-92.5,EXIT
1746753376.219862,102881.1,1,-92.5,ENTRY
1746753443.859199,102932.1,0,-41.5,EXIT
1746753445.890871,102932.1,-1,-41.5,ENTRY
1746753519.333181,102919.9,0,-29.29999999998836,EXIT
1746753521.5075352,102919.9,1,-29.29999999998836,ENTRY
1746753564.1934211,102831.9,0,-117.29999999998836,EXIT
1746753566.445366,102831.9,-1,-117.29999999998836,ENTRY
1746753606.176353,102831.9,0,-117.29999999998836,EXIT
1746753608.465683,102831.9,1,-117.29999999998836,ENTRY
1746753648.164813,102728.2,0,-220.99999999998545,EXIT
1746753650.459581,102728.2,-1,-220.99999999998545,ENTRY
1746753948.290805,102607.1,0,-99.89999999999418,EXIT
1746753950.419884,102607.1,1,-99.89999999999418,ENTRY
1746754313.800739,102755.3,0,48.30000000000291,EXIT
1746754315.9328,102755.3,-1,48.30000000000291,ENTRY
1746754486.758055,102716.3,0,87.30000000000291,EXIT
1746754488.795588,102716.3,1,87.30000000000291,ENTRY
1746754864.499388,102683.7,0,54.69999999999709,EXIT
1746754866.76288,102683.7,-1,54.69999999999709,ENTRY
